# R = 8
# J = 1
# Q2 = 3
# Q4 = 0
# T = 1
# pdel = 0.5
# rho	rho_sq	N1_tau	N1_tau_sq	N2_tau	N2_tau_sq
0.52	0.2704	0.01	0.0001	-0.04	0.0016
0.94	0.8836	0.39	0.1521	0.28	0.0784
0.98	0.9604	0.51	0.2601	0.38	0.1444
1	1	0.55	0.3025	0.38	0.1444
1	1	0.57	0.3249	0.48	0.2304
1	1	0.59	0.3481	0.52	0.2704
1	1	0.6	0.36	0.5	0.25
# R = 8
# J = 1
# Q2 = 3
# Q4 = 0
# T = 1
# pdel = 0.5
# rho	rho_sq	N1_tau	N1_tau_sq	N2_tau	N2_tau_sq
0.46	0.2116	0.03	0.0009	-0.04	0.0016
0.98	0.9604	0.44	0.1936	0.27	0.0729
0.96	0.9216	0.58	0.3364	0.46	0.2116
0.98	0.9604	0.57	0.3249	0.42	0.1764
0.98	0.9604	0.55	0.3025	0.48	0.2304
1	1	0.59	0.3481	0.5	0.25
1	1	0.56	0.3136	0.48	0.2304
